Sequence,Company Name,Date Added,Industry,Sector,Country,Address,Website,LinkedIn URL,Handshake URL,Signed MoU,Favorite Employer,Blacklisted,Comments
11,Qatar Islamic Bank (QIB),02/20/25,Education,Semi-Government,Isle of Man,"8660 Amy Junction, South Shelbyfort, NY 80252",https://rice.info/,http://www.williamson.info/,http://www.mccarty.com/,FALSE,FALSE,TRUE,Attack run trade could everything house whose.
12,PwC Qatar,02/21/25,Healthcare,Semi-Government,United Kingdom,"6779 Cook Trail Apt. 639, Smithville, RI 22196",https://www.garcia-davis.com/,https://www.smith.com/,http://www.bates.org/,TRUE,FALSE,FALSE,Turn meet effect man.
13,Ooredoo Group,02/22/25,Construction,NGO,Chad,"830 Lisa Shores, New Angelicachester, MT 61940",http://www.donaldson.info/,http://smith.org/,https://www.smith.com/,FALSE,TRUE,FALSE,Despite subject group threat.
14,Qatar Airways,02/23/25,Tech,Private,Haiti,"30331 Tyler Greens Apt. 338, Port Jamesberg, OK 99459",http://leon.com/,http://bentley-wilson.info/,https://smith.com/,FALSE,FALSE,TRUE,Term man well argue start indeed.
15,Vodafone Qatar,02/24/25,Education,NGO,Cote d'Ivoire,"702 Shelby Orchard, Port Johnburgh, DC 55125",http://young.net/,http://www.lynch-hall.com/,https://lopez.com/,TRUE,FALSE,TRUE,House material TV door idea.
16,Qatar Petroleum,02/25/25,Tech,Semi-Government,Palau,"34953 Jason Plains, New Elizabeth, UT 34659",http://www.hickman.net/,https://www.pham-oconnor.biz/,http://www.chavez-davis.org/,FALSE,TRUE,TRUE,Follow edge authority marriage during particularly.
17,Qatar Foundation,02/26/25,Finance,NGO,Central African Republic,"496 Avila Hills Apt. 277, Dannymouth, MN 59940",http://bennett.org/,http://www.harper-johnson.com/,https://jensen-cohen.com/,FALSE,TRUE,TRUE,After glass describe whose once race process.
18,Hamad Medical Corporation,02/27/25,Education,Private,Congo,"637 Robert Brook Suite 148, Lake Lisatown, WA 33353",https://turner-parsons.net/,http://www.donovan-gallegos.info/,https://villegas.com/,TRUE,FALSE,FALSE,Both positive another who.
19,Aspire Zone Foundation,02/28/25,Healthcare,Semi-Government,Cambodia,"61751 Carlos Motorway Suite 081, Louisshire, MD 01399",http://mccarty-campbell.com/,https://www.fisher.net/,https://www.white-montgomery.info/,FALSE,FALSE,FALSE,Education oil than forget star president audience.
20,Katara Hospitality,03/01/25,Construction,Private,Samoa,"540 Smith Prairie Suite 421, Matthewfurt, NV 05232",http://lee-hardy.biz/,http://www.perez.com/,http://rodriguez.com/,TRUE,TRUE,TRUE,Yard entire ever for add enjoy.
